tool	seq_type	value	ecdf
DRAM-V	Mixed metagenomes	247	0.18198012
DRAM-V	Mixed metagenomes	247	0.18248007
DRAM-V	Mixed metagenomes	247	0.18298
DRAM-V	Mixed metagenomes	248	0.18347995
DRAM-V	Mixed metagenomes	248	0.1839799
DRAM-V	Mixed metagenomes	249	0.18447983
DRAM-V	Mixed metagenomes	249	0.18497978
DRAM-V	Mixed metagenomes	249	0.18547973
DRAM-V	Mixed metagenomes	250	0.18597966
DRAM-V	Mixed metagenomes	250	0.18647961
DRAM-V	Mixed metagenomes	250	0.18697956
DRAM-V	Mixed metagenomes	251	0.1874795
DRAM-V	Mixed metagenomes	251	0.18797944
DRAM-V	Mixed metagenomes	252	0.1884794
DRAM-V	Mixed metagenomes	252	0.18897933
DRAM-V	Mixed metagenomes	252	0.18947928
DRAM-V	Mixed metagenomes	253	0.18997923
DRAM-V	Mixed metagenomes	253	0.19047916
DRAM-V	Mixed metagenomes	254	0.19097911
DRAM-V	Mixed metagenomes	254	0.19147906
DRAM-V	Mixed metagenomes	254	0.191979
DRAM-V	Mixed metagenomes	255	0.19247894
DRAM-V	Mixed metagenomes	255	0.19297889
DRAM-V	Mixed metagenomes	256	0.19347884
DRAM-V	Mixed metagenomes	256	0.19397877
DRAM-V	Mixed metagenomes	256	0.19447872
DRAM-V	Mixed metagenomes	257	0.19497867
DRAM-V	Mixed metagenomes	257	0.1954786
DRAM-V	Mixed metagenomes	258	0.19597855
DRAM-V	Mixed metagenomes	258	0.1964785
DRAM-V	Mixed metagenomes	258	0.19697843
DRAM-V	Mixed metagenomes	259	0.19747838
DRAM-V	Mixed metagenomes	259	0.19797833
DRAM-V	Mixed metagenomes	260	0.19847827
DRAM-V	Mixed metagenomes	260	0.19897822
DRAM-V	Mixed metagenomes	260	0.19947816
DRAM-V	Mixed metagenomes	261	0.1999781
DRAM-V	Mixed metagenomes	261	0.20047805
DRAM-V	Mixed metagenomes	261	0.200978
DRAM-V	Mixed metagenomes	262	0.20147793
DRAM-V	Mixed metagenomes	262	0.20197788
DRAM-V	Mixed metagenomes	263	0.20247783
DRAM-V	Mixed metagenomes	263	0.20297776
DRAM-V	Mixed metagenomes	263	0.20347771
DRAM-V	Mixed metagenomes	264	0.20397766
DRAM-V	Mixed metagenomes	264	0.2044776
DRAM-V	Mixed metagenomes	265	0.20497754
DRAM-V	Mixed metagenomes	265	0.20547749
DRAM-V	Mixed metagenomes	265	0.20597744
DRAM-V	Mixed metagenomes	266	0.20647737
DRAM-V	Mixed metagenomes	266	0.20697732
DRAM-V	Mixed metagenomes	267	0.20747727
DRAM-V	Mixed metagenomes	267	0.2079772
DRAM-V	Mixed metagenomes	267	0.20847715
DRAM-V	Mixed metagenomes	268	0.2089771
DRAM-V	Mixed metagenomes	268	0.20947704
DRAM-V	Mixed metagenomes	269	0.20997699
DRAM-V	Mixed metagenomes	269	0.21047693
DRAM-V	Mixed metagenomes	269	0.21097687
DRAM-V	Mixed metagenomes	270	0.21147682
DRAM-V	Mixed metagenomes	270	0.21197677
DRAM-V	Mixed metagenomes	271	0.2124767
DRAM-V	Mixed metagenomes	271	0.21297665
DRAM-V	Mixed metagenomes	271	0.2134766
DRAM-V	Mixed metagenomes	272	0.21397653
DRAM-V	Mixed metagenomes	272	0.21447648
DRAM-V	Mixed metagenomes	272	0.21497643
DRAM-V	Mixed metagenomes	273	0.21547636
DRAM-V	Mixed metagenomes	273	0.21597631
DRAM-V	Mixed metagenomes	274	0.21647626
DRAM-V	Mixed metagenomes	274	0.2169762
DRAM-V	Mixed metagenomes	274	0.21747614
DRAM-V	Mixed metagenomes	275	0.2179761
DRAM-V	Mixed metagenomes	275	0.21847604
