id	db	name	filter_essential	filter_glucan	filter_lipid	filter_methyl	filter_nucleotide
HMMsoil10129	FOAM	galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]	False	True	False	False	True
HMMsoil101295	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil101296	FOAM	pgmB; beta-phosphoglucomutase [EC:5.4.2.6]	False	True	False	False	False
HMMsoil101302	FOAM	ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]	True	True	False	False	False
HMMsoil10132	FOAM	E3.2.1.15; polygalacturonase [EC:3.2.1.15]	True	True	False	False	False
HMMsoil101322	FOAM	bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein	True	False	False	False	False
HMMsoil101337	FOAM	Antibiotic ABC transporter [mD:m00248]	True	False	False	False	False
HMMsoil101351	FOAM	NTH; endonuclease III [EC:4.2.99.18]	True	False	False	False	False
HMMsoil101353	FOAM	phnL; alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]	False	False	False	False	True
HMMsoil101357	FOAM	mdtH; MFS transporter, DHA1 family, multidrug resistance protein	True	False	False	False	False
HMMsoil101360	FOAM	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	True	False	False	False	True
HMMsoil101360	FOAM	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]	True	False	False	False	True
HMMsoil101365	FOAM	PRUNE, PPX1; exopolyphosphatase [EC:3.6.1.11]	False	False	False	False	True
HMMsoil101370	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]; ADCY1; adenylate cyclase 1 [EC:4.6.1.1]; ADCY2; adenylate cyclase 2 [EC:4.6.1.1]; ADCY3; adenylate cyclase 3 [EC:4.6.1.1]; ADCY4; adenylate cyclase 4 [EC:4.6.1.1]; ADCY5; adenylate cyclase 5 [EC:4.6.1.1]; ADCY6; adenylate cyclase 6 [EC:4.6.1.1]; ADCY7; adenylate cyclase 7 [EC:4.6.1.1]; ADCY8; adenylate cyclase 8 [EC:4.6.1.1]; ADCY9; adenylate cyclase 9 [EC:4.6.1.1]	False	False	False	False	True
HMMsoil101371	FOAM	DNAJB4; DnaJ homolog subfamily B member 4	True	True	False	False	False
HMMsoil101373	FOAM	pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]; UMPS; uridine monophosphate synthetase [EC:2.4.2.10] [EC:4.1.1.23]	True	False	False	False	True
HMMsoil101390	FOAM	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]	True	False	False	False	True
HMMsoil101398	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil101399	FOAM	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	False	False	False	False	True
HMMsoil1014	FOAM	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	False	True	True	False	True
HMMsoil1014	FOAM	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	False	True	True	False	True
HMMsoil10140	FOAM	kinA; two-component system, sporulation sensor kinase A [EC:2.7.13.3]	True	False	False	False	False
HMMsoil101402	FOAM	mrcA; penicillin-binding protein 1A [EC:2.4.1.129] [EC:3.4.16.4]	True	True	False	False	False
HMMsoil101402	FOAM	mrcA; penicillin-binding protein 1A [EC:2.4.1.129] [EC:3.4.16.4]	True	True	False	False	False
HMMsoil101417	FOAM	apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	False	False	False	False	True
HMMsoil101428	FOAM	holB; DNA polymerase III subunit delta' [EC:2.7.7.7]	True	False	False	False	True
HMMsoil101428	FOAM	holB; DNA polymerase III subunit delta' [EC:2.7.7.7]	True	False	False	False	True
HMMsoil101430	FOAM	bceS; two-component system, OmpR family, bacitracin resistance sensor histidine kinase BceS [EC:2.7.13.3]; K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	True	False	False	False	False
HMMsoil10144	FOAM	dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]; E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]	True	True	False	False	False
HMMsoil101448	FOAM	amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	True	False	False	False	False
HMMsoil101459	FOAM	hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]	True	False	False	False	False
