id	db	name
K00213	KEGG	DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	KEGG	BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]
K00215	KEGG	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	KEGG	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	KEGG	E1.3.1.32; maleylacetate reductase [EC:1.3.1.32]
K00218	KEGG	por; protochlorophyllide reductase [EC:1.3.1.33]
K00219	KEGG	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	KEGG	tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	KEGG	E4.99.1.2; alkylmercury lyase [EC:4.99.1.2]
K00222	KEGG	TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]
K00223	KEGG	ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71]
K00224	KEGG	CEQORH; chloroplastic oxoene reductase [EC:1.3.1.-]
K00225	KEGG	GLDH; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]
K00226	KEGG	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
K00227	KEGG	SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00228	KEGG	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K00230	KEGG	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231	KEGG	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00232	KEGG	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]
K00233	KEGG	frdA, fdrA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12]
K00234	KEGG	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
K00235	KEGG	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
K00236	KEGG	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	KEGG	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	KEGG	sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
K00240	KEGG	sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
K00241	KEGG	sdhC, frdC; succinate dehydrogenase cytochrome b subunit
K00242	KEGG	sdhD, frdD; succinate dehydrogenase membrane anchor subunit
K00243	KEGG	K00243; uncharacterized protein
K00244	KEGG	frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
K00245	KEGG	frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
K00246	KEGG	frdC; succinate dehydrogenase subunit C
K00247	KEGG	frdD; succinate dehydrogenase subunit D
K00248	KEGG	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	KEGG	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
K00251	KEGG	AKR1D1; 3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3]
K00252	KEGG	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	KEGG	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00254	KEGG	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]
K00255	KEGG	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00257	KEGG	mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]
K00258	KEGG	SWNR; swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-]
K00259	KEGG	ald; alanine dehydrogenase [EC:1.4.1.1]
K00260	KEGG	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]
K00261	KEGG	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	KEGG	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00263	KEGG	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
K00264	KEGG	GLT1; glutamate synthase (NADH) [EC:1.4.1.14]
K00265	KEGG	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
K00266	KEGG	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K00270	KEGG	pdh; phenylalanine dehydrogenase [EC:1.4.1.20]
K00271	KEGG	vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23]
K00272	KEGG	DDO; D-aspartate oxidase [EC:1.4.3.1]
K00273	KEGG	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
K00274	KEGG	MAO, aofH; monoamine oxidase [EC:1.4.3.4]
K00275	KEGG	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K00276	KEGG	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
K00277	KEGG	LOX; protein-lysine 6-oxidase [EC:1.4.3.13]
K00278	KEGG	nadB; L-aspartate oxidase [EC:1.4.3.16]
K00279	KEGG	CKX; cytokinin dehydrogenase [EC:1.5.99.12]
K00280	KEGG	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00281	KEGG	GLDC, gcvP; glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]
K00282	KEGG	gcvPA; glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]
