id,db,name
K04801,KEGG,replication factor C small subunit
K05636,KEGG,"laminin, beta 1"
K11665,KEGG,chromatin-remodeling ATPase INO80 [EC:5.6.2.-]
K13306,KEGG,dTDP-4-dehydro-6-deoxyglucose reductase [EC:1.1.1.266]
K04774,KEGG,serine protease SohB [EC:3.4.21.-]
K26030,KEGG,Straboviridae deoxycytidylate deaminase [EC:3.5.4.12]
K26951,KEGG,Autographiviridae terminase large subunit [EC:3.6.4.- 3.1.21.-]
K10866,KEGG,DNA repair protein RAD50 [EC:3.6.-.-]
K10804,KEGG,acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]
K15352,KEGG,secreted effector protein PipB2
K18555,KEGG,fluoroquinolone resistance protein
K03427,KEGG,type I restriction enzyme M protein [EC:2.1.1.72]
K26867,KEGG,Chaseviridae DNA primase/helicase
K19423,KEGG,glycosyltransferase EpsE [EC:2.4.-.-]
K25652,KEGG,teichoic acid N-acetylgalactosaminyltransferase [EC:2.4.1.-]
K22227,KEGG,AdoMet-dependent heme synthase [EC:1.3.98.6]
K26877,KEGG,Herelleviridae DNA primase/helicase
K01174,KEGG,micrococcal nuclease [EC:3.1.31.1]
K02405,KEGG,RNA polymerase sigma factor FliA
K11592,KEGG,endoribonuclease Dicer [EC:3.1.26.-]
K18955,KEGG,"WhiB family transcriptional regulator, redox-sensing transcriptional regulator"
K24696,KEGG,"[mycofactocin precursor peptide]-tyrosine decarboxylase / 3-amino-5-[(4-hydroxyphenyl)methyl]-4,4-dimethylpyrrolidin-2-one synthase [EC:1.3.98.7 4.1.99.26]"
K01449,KEGG,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K10906,KEGG,exodeoxyribonuclease VIII [EC:3.1.11.-]
K04800,KEGG,replication factor C large subunit
K13998,KEGG,dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45]
K26972,KEGG,Enterobacteria phage tape measure protein
K09960,KEGG,uncharacterized protein
K05590,KEGG,ATP-dependent RNA helicase SrmB [EC:3.6.4.13]
K19427,KEGG,glycosyltransferase EpsJ [EC:2.4.-.-]
K21929,KEGG,uracil-DNA glycosylase [EC:3.2.2.27]
K14437,KEGG,chromodomain-helicase-DNA-binding protein 7 [EC:5.6.2.-]
K07403,KEGG,membrane-bound serine protease (ClpP class)
K26922,KEGG,Schitoviridae ATP-dependent RecD-like DNA helicase
K16318,KEGG,tRNA (guanine6-N2)-methyltransferase [EC:2.1.1.256]
K03651,KEGG,"3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]"
K26778,KEGG,Straboviridae long-tail fiber protein Gp37
K22804,KEGG,structural maintenance of chromosomes protein 6
K22844,KEGG,glucosyl-dolichyl phosphate glucuronosyltransferase [EC:2.4.1.356]
K22025,KEGG,D-erythronate 2-dehydrogenase [EC:1.1.1.410]
K03656,KEGG,ATP-dependent DNA helicase Rep [EC:5.6.2.4]
K12987,KEGG,"alpha-1,6-rhamnosyltransferase [EC:2.4.1.-]"
K22719,KEGG,murein hydrolase activator
K15255,KEGG,ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]
K01143,KEGG,Enterobacteriaceae phage exonuclease [EC:3.1.11.3]
K03658,KEGG,DNA helicase IV [EC:5.6.2.4]
K10756,KEGG,replication factor C subunit 3/5
K26031,KEGG,Straboviridae endolysin [EC:3.2.1.17]
K19354,KEGG,heptose III glucuronosyltransferase [EC:2.4.1.-]
K20922,KEGG,polysaccharide biosynthesis protein VpsI
K21471,KEGG,peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]
K07175,KEGG,PhoH-like ATPase
K27050,KEGG,Steitzviridae coat protein
K22925,KEGG,UDP-N-acetylglucosaminuronic acid 4-epimerase [EC:5.1.3.-]
K10755,KEGG,replication factor C subunit 2/4
K06217,KEGG,phosphate starvation-inducible protein PhoH and related proteins
K19781,KEGG,"ATP-dependent DNA helicase HMI1, mitochondrial [EC:5.6.2.4]"
K19797,KEGG,Straboviridae T-even-induced deoxynucleotide kinase [EC:2.7.4.12]
K21130,KEGG,GDP-L-colitose synthase [EC:1.1.1.356]
K16045,KEGG,3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K03086,KEGG,RNA polymerase primary sigma factor
K20391,KEGG,"HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes"
K09882,KEGG,cobaltochelatase CobS [EC:6.6.1.2]
K12989,KEGG,mannosyltransferase [EC:2.4.1.-]
K01711,KEGG,"GDPmannose 4,6-dehydratase [EC:4.2.1.47]"
K26047,KEGG,Straboviridae thymidylate synthase [EC:2.1.1.45]
K02343,KEGG,DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
K02479,KEGG,"two-component system, NarL family, response regulator"
