level,ranking,coverage,precision
specific,d1_only,0.21567318921753223,0.4831473090949276
specific,d1_only,0.21815191743928308,0.48137222768491206
specific,d1_only,0.2206306456610339,0.48104137409527925
specific,d1_only,0.22310937388278476,0.48082469821600254
specific,d1_only,0.2255881021045356,0.4802958267300581
specific,d1_only,0.22806683032628644,0.4800919636325635
specific,d1_only,0.23054555854803727,0.47885867879665045
specific,d1_only,0.23302428676978812,0.47816303569602125
specific,d1_only,0.23550301499153894,0.4774820362311507
specific,d1_only,0.2379817432132898,0.47631447170756136
specific,d1_only,0.24046047143504062,0.4757656853999405
specific,d1_only,0.24293919965679148,0.47542431080153047
specific,d1_only,0.24541792787854233,0.47431290667184617
specific,d1_only,0.24789665610029316,0.4726468608787617
specific,d1_only,0.250375384322044,0.47187053783912425
specific,d1_only,0.25285411254379486,0.4712036949759638
specific,d1_only,0.2553328407655457,0.47082983291328295
specific,d1_only,0.2578115689872965,0.46953868910048996
specific,d1_only,0.26029029720904734,0.468272136251259
specific,d1_only,0.2627690254307982,0.46802721088435373
specific,d1_only,0.26524775365254905,0.46805642914907
specific,d1_only,0.26772648187429987,0.4681741297961364
specific,d1_only,0.2702052100960507,0.4682014642321602
specific,d1_only,0.2726839383178016,0.4688401363517175
specific,d1_only,0.2751626665395524,0.4681680381117367
specific,d1_only,0.27764139476130323,0.4672504077603228
specific,d1_only,0.28012012298305405,0.4665191865906577
specific,d1_only,0.28259885120480494,0.4659694695116809
specific,d1_only,0.28507757942655576,0.4656801270796756
specific,d1_only,0.2875563076483066,0.4647326978864484
specific,d1_only,0.29003503587005747,0.464541046922508
specific,d1_only,0.2925137640918083,0.464841522040251
specific,d1_only,0.2949924923135591,0.46392502221863136
specific,d1_only,0.29747122053530994,0.46358464866597227
specific,d1_only,0.2999499487570608,0.4634088200238379
specific,d1_only,0.30242867697881165,0.4630782567578217
specific,d1_only,0.3049074052005625,0.4624403970921598
specific,d1_only,0.3073861334223133,0.4627432736295262
specific,d1_only,0.3098648616440642,0.46142604415044997
specific,d1_only,0.312343589865815,0.4611980160244182
specific,d1_only,0.31482231808756583,0.46074646074646075
specific,d1_only,0.31730104630931666,0.4605273041388117
specific,d1_only,0.31977977453106754,0.4603115450547812
specific,d1_only,0.32225850275281837,0.4603949412025738
specific,d1_only,0.3247372309745692,0.4593761467889908
specific,d1_only,0.32721595919632,0.4593196882511472
specific,d1_only,0.3296946874180709,0.4587580423624666
specific,d1_only,0.3321734156398217,0.4582047786467676
specific,d1_only,0.33465214386157255,0.4578733708425326
specific,d1_only,0.33713087208332343,0.4573347472605161
specific,d1_only,0.33960960030507426,0.4570847076987859
